"GEOID","pct_male","pct_female"
"13249",49.3,50.7
"13251",48.6,51.4
"13253",47.5,52.5
"13255",48.4,51.6
"13257",46.5,53.5
"13259",66.5,33.5
"13261",47.2,52.8
"13263",48.3,51.7
"13265",49.2,50.8
"13267",58.8,41.2
"13269",47.6,52.4
"13271",57.6,42.4
"13273",47.7,52.3
"13275",47.6,52.4
"13277",48.5,51.5
"13279",46.3,53.7
"13281",47,53
"13283",51.4,48.6
"13285",47.8,52.2
"13287",47.9,52.1
"13289",49.1,50.9
"13291",48.7,51.3
"13293",47.6,52.4
"13295",49.6,50.4
"13297",48.5,51.5
"13299",50.3,49.7
"13301",46.6,53.4
"13303",51.2,48.8
"13305",50.3,49.7
"13307",48.7,51.3
"13309",63.2,36.8
"13311",48.8,51.2
"13313",49.6,50.4
"13315",59.9,40.1
"13317",48.5,51.5
"13319",47.4,52.6
"13321",48.2,51.8
"15001",49.6,50.4
"15003",50.4,49.6
"15005",45.5,54.5
"15007",49.5,50.5
"15009",49.8,50.2
"16001",50.1,49.9
"16003",51.5,48.5
"16005",49.8,50.2
"16007",49.3,50.7
"16009",50.6,49.4
"16011",50,50
"16013",51.5,48.5
"16015",51.2,48.8
"16017",49.9,50.1
"16019",50.1,49.9
"16021",50,50
"16023",52.7,47.3
"16025",47.4,52.6
"16027",49.5,50.5
"16029",51.3,48.7
"16031",50.9,49.1
"16033",52.6,47.4
"16035",55.7,44.3
"16037",51.5,48.5
"16039",52.6,47.4
"16041",51.4,48.6
"16043",51.9,48.1
"16045",49.7,50.3
"16047",51.3,48.7
"16049",52.6,47.4
"16051",50.9,49.1
"16053",50.5,49.5
"16055",49.4,50.6
"16057",51.3,48.7
"16059",50.8,49.2
"16061",49.5,50.5
"16063",52.4,47.6
"16065",50.8,49.2
"16067",50,50
"16069",49.3,50.7
"16071",48.9,51.1
"16073",51.5,48.5
"16075",49.6,50.4
"16077",50.6,49.4
"16079",49.9,50.1
"16081",52.3,47.7
"16083",49.2,50.8
"16085",50.5,49.5
"16087",49,51
"17001",48.8,51.2
"17003",47.8,52.2
"17005",51.7,48.3
"17007",50,50
"17009",63.3,36.7
"17011",49.3,50.7
"17013",50.1,49.9
"17015",49.6,50.4
"17017",49.9,50.1
"17019",49.8,50.2
"17021",50.5,49.5
"17023",49.4,50.6
"17025",49.9,50.1
"17027",52.1,47.9
"17029",48.4,51.6
"17031",48.5,51.5
"17033",52.2,47.8
"17035",50.5,49.5
"17037",49.6,50.4
"17039",49.9,50.1
"17041",49.5,50.5
"17043",49.1,50.9
"17045",49.1,50.9
"17047",49.9,50.1
"17049",49.7,50.3
"17051",53.2,46.8
"17053",49.4,50.6
"17055",49.3,50.7
"17057",52.2,47.8
"17059",48.6,51.4
"17061",50.2,49.8
"17063",50,50
"17065",49.8,50.2
"17067",49.9,50.1
"17069",50,50
"17071",49.3,50.7
"17073",49.8,50.2
"17075",48.8,51.2
"17077",49.4,50.6
"17079",49.7,50.3
"17081",51.3,48.7
"17083",48.9,51.1
"17085",50.3,49.7
"17087",55.5,44.5
"17089",49.8,50.2
"17091",49.2,50.8
"17093",49.3,50.7
"17095",50.7,49.3
"17097",50,50
