"GEOID","poverty_total","poverty_male","poverty_female","white","black","ai_an","asian","nh_opi","other","pct_male","pct_female"
"05121",18.3,8.5,9.8,95.2,1.1,0.7,0.1,0.3,4.5,50,50
"05123",21.6,9.1,12.5,41,53.5,0.4,0.6,0.1,6.1,54.4,45.6
"05125",9.1,4.5,4.6,88.4,7.1,0.4,1.3,0.1,4.6,49,51
"05127",19,9.8,9.1,89,0.2,1.9,0.7,0,13.2,51.2,48.8
"05129",21.5,9.5,12,93.2,0.6,2.8,0.7,0,4.9,50.6,49.4
"05131",18.2,8.2,10,73.5,6.8,1.1,4.5,0,18.8,48.9,51.1
"05133",21,9.1,12,62.9,4.8,2.3,0.4,0.5,30.7,50.3,49.7
"05135",21.8,9.7,12.2,95,0.8,0.3,0.1,0,7.2,49,51
"05137",19.6,9.3,10.3,96.5,0.1,0.5,0.5,0,4.6,49.6,50.4
"05139",18.9,8.5,10.3,63.9,32.7,0.9,0.7,0,3.1,48.4,51.6
"05141",18.3,8,10.2,95,0.6,0.6,0.2,0.1,5.7,49.4,50.6
"05143",15.8,7.5,8.3,77.2,3.7,0.9,2.5,2.3,17,49.9,50.1
"05145",14.9,6.6,8.3,91.1,4.4,0.6,0.7,0,5.4,48.8,51.2
"05147",24.4,8.9,15.5,69.8,28.1,0,0.9,0,2.2,46,54
"05149",16.4,7.3,9.1,78.6,2.5,0.5,1.1,0,18.5,50.1,49.9
"06001",9.8,4.3,5.4,40.5,10.6,0.7,30.1,0.8,23.8,49.2,50.8
"06003",19.7,11.7,8,57.7,0.9,34,1,0.6,11.1,53.3,46.7
"06005",9,3.9,5.1,86.7,2.4,0.8,1.3,0.1,13.4,53.7,46.3
"06007",18.6,8.7,9.9,81.6,1.5,1.2,4.6,0.3,17,49.5,50.5
"06009",11.3,5.5,5.9,90.5,0.7,0.8,1.5,0,11.7,49.8,50.2
"06011",12.9,6,7,88.3,1.5,1,1.4,0.2,10.2,51.2,48.8
"06013",8.6,3.8,4.8,55.8,8.7,0.5,16.7,0.5,24.5,48.9,51.1
"06015",17.3,7.6,9.7,74.9,3.4,7.2,3.2,0.2,17.4,53.6,46.4
"06017",8.3,3.6,4.7,87.6,0.8,0.8,4.5,0.3,9.9,49.8,50.2
"06019",22.2,10.2,11.9,65,4.8,1.2,10.3,0.2,22.6,49.9,50.1
"06021",17.2,7.4,9.8,81.1,0.8,2.4,2.9,0,15,50.8,49.2
"06023",19.6,9.4,10.3,79.9,1.1,5,3.1,0.4,16.9,49.7,50.3
"06025",22.7,10,12.7,65.1,2.5,1.1,1.5,0.2,33.3,51.3,48.7
"06027",9.1,4.8,4.3,78.8,0.9,11.3,1.9,0.2,11.6,50.4,49.6
"06029",20.3,9.1,11.2,74.4,5.5,1,4.7,0.2,17.7,51.2,48.8
"06031",16.4,7.6,8.8,67.7,6.4,1.6,3.9,0.2,24.3,55.1,44.9
"06033",18.3,8.1,10.2,76.9,2.3,3.6,1.1,0.1,19.7,49.6,50.4
"06035",9.2,4.4,4.8,82.2,8.7,2.8,1.4,0.8,6.7,66,34
"06037",14.7,6.7,8,51.3,8.1,0.7,14.6,0.3,29,49.3,50.7
"06039",18.8,8.2,10.6,69.5,3.2,1.6,2.1,0.1,26.7,48.2,51.8
"06041",7.1,3,4.1,77.8,2.2,0.4,5.9,0.2,18.4,48.8,51.2
"06043",15,7.2,7.8,88.4,1.5,1.9,1.2,0.3,11.1,50.9,49.1
"06045",17.5,7.7,9.7,83.6,0.7,4.4,2.1,0.2,13.9,49.6,50.4
"06047",20.7,9.4,11.3,55.1,3.2,0.9,7.5,0.2,37.2,50.5,49.5
"06049",18.2,9.4,8.8,89.5,1.5,4.2,1.1,0.1,5.8,51.9,48.1
"06051",12,6,6,83.3,0.8,3.5,2.6,0,13.6,53.3,46.7
"06053",12.6,5.8,6.8,53.3,2.6,0.7,5.6,0.5,41.5,51,49
"06055",7.6,3.7,3.9,73.4,2.1,0.9,8.1,0.2,19.2,49.9,50.1
"06057",10.9,4.8,6.2,92.4,0.6,0.7,1.1,0.1,8.9,49.3,50.7
"06059",10.7,4.8,5.9,61,1.8,0.5,20.5,0.3,20.1,49.4,50.6
"06061",7.7,3.5,4.1,82.2,1.7,0.5,7.5,0.2,12.7,48.8,51.2
"06063",11.9,5.6,6.4,90.3,0.9,1.5,1.2,0.5,9.6,49.7,50.3
"06065",13.5,6.1,7.4,59.9,6.5,0.8,6.5,0.3,30.3,49.8,50.2
"06067",14.5,6.8,7.7,57.3,9.8,0.7,15.7,1.1,22.8,48.9,51.1
"06069",8.4,3.9,4.5,81.6,0.8,0.7,3,0.1,19.1,49.9,50.1
"06071",15.5,7,8.5,61.2,8.3,0.8,7.2,0.3,27.2,49.8,50.2
"06073",11.3,5.2,6.1,70.7,5,0.7,11.9,0.4,16.5,50.3,49.7
"06075",10.2,4.9,5.3,46.4,5.2,0.4,34.4,0.4,18.8,51,49
"06077",14.2,6.5,7.7,56.5,7,0.6,15.6,0.6,30.6,49.8,50.2
"06079",11.8,5.6,6.2,85.5,1.9,0.9,3.6,0.1,11.7,50.7,49.3
"06081",6.7,3,3.7,50.6,2.3,0.4,28.7,1.4,22.4,49.4,50.6
"06083",12.9,5.9,7,77.5,2,1,5.6,0.1,17.8,50.1,49.9
"06085",7.4,3.4,4,44.5,2.5,0.5,36.5,0.4,20.9,50.6,49.4
"06087",12.6,5.7,6.8,74.8,1.1,0.5,4.8,0.1,23.5,49.5,50.5
"06089",16.4,7.7,8.8,86.6,1.2,2.7,3.2,0.1,10.4,49.1,50.9
"06091",9.6,5,4.6,97.5,0.1,1.7,0,0,1.6,53.5,46.5
"06093",18.6,8.7,9.9,84.8,1.6,3.7,1.6,0.4,14.5,49.9,50.1
"06095",9.3,4.2,5.1,52.6,13.9,0.5,15.4,0.9,24,49.8,50.2
"06097",9.1,4.1,5,74.8,1.7,0.9,4.1,0.3,23.7,48.8,51.2
"06099",15,6.7,8.3,76.6,3,0.8,5.5,0.7,17.5,49.5,50.5
"06101",15.3,7,8.3,69,1.9,0.9,15.7,0.6,19.1,49.8,50.2
"06103",21.8,10.2,11.6,85.7,0.8,2,1.5,0,14.3,49.7,50.3
"06105",18.7,9.2,9.5,86,1,5.6,1.8,0.2,7.4,51.5,48.5
"06107",23.5,11.1,12.4,73.7,1.6,1.3,3.6,0.2,23,50,50
"06109",11.9,5.2,6.7,87.8,1.8,1.8,1.4,0.2,11.3,52,48
"06111",8.8,3.9,4.9,80.1,1.8,0.8,7.3,0.2,14.2,49.5,50.5
"06113",18.4,8.1,10.2,69.3,2.7,0.6,14,0.4,19.3,48.5,51.5
"06115",15.2,7,8.2,76,3.4,1.2,6.8,0.5,19.5,51,49
"08001",10.7,4.8,5.9,81.6,3.4,1.1,4,0.1,14.3,50.5,49.5
"08003",21.9,10.4,11.5,86.4,0.9,3.3,1.3,0.5,10.3,50,50
"08005",8,3.6,4.4,71.5,10.8,0.7,6,0.2,15.2,49.5,50.5
"08007",8.7,4.1,4.6,84,1.7,1.4,1,0.1,13.2,50.2,49.8
"08009",18.4,7.5,10.9,94.3,1,1.6,0,0.1,5.4,49,51
"08011",20.3,11.3,9.1,91.4,4.1,1,0.2,0,4.7,64.5,35.5
"08013",11.3,5.5,5.8,89,0.9,0.4,4.7,0.1,7.8,50.3,49.7
"08014",5.5,2.3,3.3,86.3,1.3,0.4,6.5,0,9.1,49.8,50.2
"08015",9.1,4.3,4.7,93.7,1.7,0.5,1.5,0,4.6,53.6,46.4
"08017",10,5,5,93.5,0.1,0.1,2.2,0.2,7.9,50,50
"08019",7.6,3.2,4.5,94.2,1.2,0.3,1,0.1,6.4,50.3,49.7
"08021",21.6,10.9,10.8,88.8,0.5,2.5,0.2,0.3,10.2,50.3,49.7
"08023",27.3,13.2,14.1,88.4,0.4,2.1,1.3,0,11.8,53,47
"08025",23.3,12.7,10.5,88.6,3.5,1.4,0.6,0,10.6,63.5,36.5
"08027",12.6,6.5,6.1,93,2.9,0.9,0,0,5.6,51.1,48.9
"08029",17.6,7.9,9.7,94.4,1.2,0.9,1.1,0,3.9,50.6,49.4
"08031",12.6,5.9,6.8,76.1,9.2,0.9,3.7,0.2,13.7,50.1,49.9
"08033",13.2,9.2,4.1,96.7,0,1.7,0,0,3.2,56.1,43.9
"08035",3.1,1.3,1.7,88.9,1.5,0.4,4.8,0.1,7.4,49.9,50.1
"08037",8,3.4,4.5,88.9,1.2,0.2,0.7,0.1,10.7,53.1,46.9
"08039",4.8,2.1,2.7,93.6,0.4,1,1,0.1,7,50.6,49.4
"08041",9.8,4.5,5.3,79.6,6.4,0.8,2.8,0.4,16.1,50.5,49.5
"08043",11,4.9,6.1,89.8,4.6,1.4,0.7,0,5.7,58.3,41.7
"08045",8.5,4.1,4.4,86.1,0.5,0.7,0.9,0.1,13.7,51,49
"08047",4.8,1.9,2.9,92.4,0.3,2.7,0,0,9,50.6,49.4
"08049",9.4,4.7,4.7,94.8,1.1,0,1.4,0.1,3.7,52.8,47.2
"08051",12.8,6.6,6.2,95.7,0.6,1,0.3,0.2,4,54.2,45.8
"08053",9.8,4.7,5.1,94.2,0,2.3,0.5,0,5.1,44.9,55.1
"08055",15.4,6.8,8.7,91.9,0.5,1.8,0,0,9.9,49.2,50.8
"08057",9.6,4.3,5.3,97.9,0,0,0,0,2.5,51.4,48.6
"08059",7,3.2,3.8,90.6,1.2,0.7,2.8,0.1,7.5,49.8,50.2
"08061",11.9,5.5,6.4,96.2,0.4,0,0,0,6.5,48.5,51.5
"08063",5.7,2.3,3.3,92.1,2.5,0.4,0.2,0.3,5.2,53.6,46.4
"08065",14.3,7.2,7.1,85.3,0.1,1.5,0.8,0,13.7,55.6,44.4
"08067",8.8,3.9,5,88,0.5,6.6,0.7,0,6.5,50.3,49.7
"08069",11.3,5.3,5.9,91.3,1,0.8,2.2,0.1,7.9,49.9,50.1
"08071",17.3,8.1,9.2,84.9,0.9,3.8,1,0,14.7,52.5,47.5
"08073",9.2,4.1,5.2,89,8.2,0.8,0.4,0.2,2.2,63.8,36.2
"08075",12.1,6.3,5.8,91.4,0.8,0.8,0.8,0.9,9.3,54,46
"08077",13.9,6.2,7.7,94,0.7,0.9,0.9,0.1,5.7,49.3,50.7
"08079",13.7,6.1,7.6,87.4,1.1,1.5,0.5,0,14,51.2,48.8
"08081",16.8,8.3,8.5,94.4,1.2,0.5,0.1,0,6.3,51.8,48.2
"08083",15,7.4,7.6,81,0.3,12.3,0.8,0.1,7.8,49.5,50.5
"08085",14.9,6.2,8.7,94.2,0.4,0.9,0.9,0.3,4.9,49.2,50.8
"08087",10.8,4.2,6.6,88.8,3.6,0.4,0.5,0.2,9.9,50.3,49.7
"08089",23.1,10.1,13,90.1,0.6,1.2,0.9,0.1,10.2,48.7,51.3
"08091",7.2,3.4,3.8,97.7,0.3,0.3,0.7,0.1,1.7,50.8,49.2
"08093",7.2,3.8,3.5,94.3,0.3,0.4,0.7,0.1,7.5,53.3,46.7
"08095",6,2.6,3.3,96.6,0.2,0,0.5,0,4.1,51.9,48.1
"08097",6.7,3.1,3.6,91.1,1,0.1,2.2,0,6.9,52.1,47.9
"08099",15.5,6.2,9.4,94.4,0.8,1.5,0.6,0,4.4,51,49
"08101",18.4,8.5,9.9,80.4,2.1,4,0.9,0.1,16.5,49.2,50.8
"08103",10,4.2,5.8,92.4,0.5,1.1,0.1,0,11.5,51.1,48.9
"08105",16.8,7.3,9.5,91.5,0.9,2.4,0.1,0.1,7.1,49.8,50.2
"08107",10.8,5.3,5.5,95.7,0.9,0.4,1.1,0,2.6,52,48
"08109",17.5,7.3,10.2,90.2,0.5,2,0,0,11.7,49.8,50.2
"08111",5.3,1,4.2,97.3,0,1,0,0,3.4,49.6,50.4
"08113",11.3,4.3,7,94.7,0,0.6,1.9,0,4.6,52.7,47.3
"08115",18.7,6.5,12.2,93.7,0.8,0.6,0.9,0,5.3,47.8,52.2
"08117",8,3.4,4.6,91.3,1.1,0.4,0.6,0.3,8.3,54.5,45.5
"08119",8.1,3.5,4.6,94.7,0.8,0.4,0.8,0,5.9,50.9,49.1
"08121",11,5.1,5.9,95.3,1.3,0.1,0.6,0,4.1,52.4,47.6
"08123",9.8,4.3,5.5,90.3,1.2,0.8,1.6,0.1,9,50.5,49.5
"08125",13.6,6.2,7.4,95.8,1.1,0.6,0,0,3.8,49.8,50.2
"09001",8.7,3.7,5,73,11.6,0.2,5.3,0.1,13,48.7,51.3
