fips,pop
55125,22195
55071,78981
55013,15414
55029,27668
16009,9298
16017,45739
16033,845
16037,4315
16039,27511
16043,13099
16065,39907
16079,12882
16049,16667
16081,12142
16077,7681
16087,10194
17067,17708
17119,262966
17063,51054
17091,109862
17131,15437
17167,194672
17003,5761
17157,31782
17141,50643
17137,33658
17177,44498
17193,13537
17203,38459
17071,6646
17111,307774
18009,11758
18015,20257
18143,23873
18045,16346
18039,206341
18025,10577
18055,31922
18097,964582
19011,25645
19071,6960
19151,6619
19173,6121
19177,7044
19195,7381
19003,3602
19009,5496
19059,17258
19103,151140
19135,7707
19171,16854
19167,34855
19069,10070
19027,20165
17043,922921
17031,5150233
19023,14439
19037,11933
19051,9000
19033,42450
19067,15642
19083,16846
19117,8600
19119,11755
19147,8886
19165,11454
19087,19954
19099,37185
19145,15107
19157,18504
19155,93206
19043,17549
19017,25062
19021,19620
19063,9208
19077,10689
19091,9558
19125,33253
19183,21965
13305,29927
13009,44890
13059,128331
13101,4006
13143,29792
13169,28735
13213,40096
13241,17137
13283,6901
13003,8165
13005,11164
25017,1611699
25013,466372
25011,70180
25015,160830
26115,150500
26059,45605
26127,26467
26087,87607
26083,2116
26139,291830
26007,28405
26079,18038
26129,20997
26039,14029
26057,40711
26065,292406
26109,22780
26149,60964
26161,367601
26027,51787
26019,17766
26163,1749343
26075,158510
26049,405813
26155,68122
26029,26143
26053,13975
27093,23222
27113,14119
27167,6207
27027,64222
27045,21067
27119,31364
27135,15165
27165,10897
27011,4991
27021,29779
27049,46340
27063,9846
27105,21629
27141,97238
27019,105089
27061,45130
27123,550321
27169,50484
27039,20934
27117,9126
27171,138377
42111,73447
29173,10309
30075,1682
30085,11004
30083,10803
30101,4736
30045,2007
30017,11402
30051,2337
30019,1690
30023,9140
30055,1664
30087,8937
30021,8613
30007,6237
30071,3954
31009,465
31049,1794
31113,748
31001,31363
31011,5192
31149,1357
31093,6445
31073,1990
31153,187196
31015,1919
31059,5462
31091,682
31181,3487
31169,5003
31163,3001
31159,17284
31023,8016
31005,463
31067,21513
31099,6495
31119,35099
31137,9034
31179,9385
31107,8332
31121,7755
31133,2613
31183,783
32015,5532
32009,873
55137,24443
55039,103403
55091,7287
55103,17252
55065,16665
55093,42754
55015,50089
39029,101883
39051,42126
39053,29898
39099,228683
39145,75314
39117,35328
39135,40882
39003,102351
39033,41494
39059,38875
39107,41172
39023,134083
39093,309833
39113,531687
39165,234602
39007,97241
40071,43538
40035,14142
40017,148306
40077,10073
40139,19983
40127,11096
40069,11085
36095,30999
36035,53383
36083,158714
36033,50022
36081,2253858
36115,61204
36061,1628706
17113,171517
17145,20916
17149,15561
17161,141879
17163,259686
17185,11520
17013,4739
17035,10766
17085,21235
