"GEOID","white","black","ai_an","asian","nh_opi","other"
"26047",92.4,0.7,2.9,0.6,0.1,6.4
"26049",74.8,19.9,0.3,1,0,7.4
"26051",97,0.3,0.5,0.5,0,3.2
"26053",91,3.9,2.6,0.5,0.1,3.7
"26055",94.8,0.9,1,0.6,0,5
"26057",91,5.7,0.6,0.4,0.1,4
"26059",96.6,0.7,0.4,0.4,0,3.5
"26061",93.2,0.8,0.4,2.8,0.1,4.9
"26063",97,0.5,0.2,0.6,0,3
"26065",74.3,11.7,0.4,6.8,0,12.1
"26067",91.7,4.6,0.2,0.4,0,5.4
"26069",95.6,0.7,1,0.8,0,3.5
"26071",95.8,0.5,1.7,0.6,0,2.6
"26073",88,2.7,3.2,1.8,0,7.8
"26075",87.3,7.8,0.4,0.8,0,6.8
"26077",80.8,11.1,0.2,2.4,0,10.3
"26079",95.9,1,0.9,0.5,0,3.2
"26081",79.6,9.6,0.4,3,0,11.6
"26083",97,0.9,0.4,0.2,0,3
"26085",86.9,7.9,0.9,0.2,0.1,7.4
"26087",95.6,1.3,0.3,0.6,0,3.8
"26089",92.9,0.5,3.1,0.6,0.1,4.6
"26091",93.1,2.5,0.5,0.3,0,6.4
"26093",96.3,0.6,0.3,0.9,0.1,3.3
"26095",79.6,6.8,6.5,0.5,0.1,12.7
"26097",74.4,3.4,16.1,0.7,0.2,10.4
"26099",81,11.7,0.3,4,0.1,5.4
"26101",91.2,2.9,1.8,0.4,0.1,7
"26103",93.2,1.7,0.8,0.9,0,6.4
"26105",94.8,0.9,1,0.6,0,4.9
"26107",92.9,3,0.6,0.9,0,4.9
"26109",94.3,0.3,2.3,0.4,0,5.3
"26111",93.2,1.4,0.4,2.3,0.1,4.7
"26113",96.2,0.6,0.5,0.2,0,4.4
"26115",94.2,2.4,0.2,0.6,0,4.6
"26117",94.6,2.2,0.5,0.4,0.1,4
"26119",96.6,0.2,1.2,0.2,0,3.4
"26121",80.8,13.6,0.8,0.6,0,7.8
"26123",93,1.2,0.9,0.4,0,6.3
"26125",75,13.6,0.3,7.5,0,6.4
"26127",94.6,1.1,1,0.2,0,4.9
"26129",96.5,0.3,1.1,0.7,0,2.8
"26131",96,0.5,0.8,0.4,0.1,4.3
"26133",96.1,1.1,0.7,0.3,0,3.3
"26135",96.8,0.5,0.7,0.1,0,3.4
"26137",95.7,0.7,0.3,0.6,0,5.3
"26139",89.6,1.5,0.3,2.7,0,8.6
"26141",96.6,0.6,0.5,0.6,0,3.3
"26143",96.5,0.2,0.7,0.3,0,4.5
"26145",75.2,18.6,0.3,1.2,0,7.9
"26147",93.5,2.2,0.2,0.6,0,6.2
"26149",92,2.2,0.3,0.5,0.1,8.1
"26151",96.6,0.5,0.3,0.3,0,3.8
"26153",86.5,0.4,7,0.4,0,11.3
"26155",96.6,0.7,0.3,0.3,0,4
"26157",96.1,1,0.3,0.3,0,4.3
"26159",86.2,3.3,1,0.7,0,12.9
"26161",73.6,11.9,0.4,9.1,0,9.2
"26163",53.1,38.7,0.3,3.4,0,6.9
"26165",95.7,0.7,0.5,0.5,0.1,4.7
"27001",94.8,0.5,2.1,0.3,0.1,4.3
"27003",83.6,6.2,0.7,4.5,0,8.3
"27005",87.6,0.5,7.4,0.6,0,7.3
"27007",72.9,1.6,20.2,0.7,0.1,9
"27009",91.3,4,0.2,1,0,6.2
"27011",97.6,0.1,0.3,0.1,0,3.7
"27013",90.7,3.9,0.3,2.2,0,5.4
"27015",95.5,0.7,0.3,0.7,0,3.6
"27017",89.4,1.9,5.1,0.6,0,6.1
"27019",92,1.8,0.2,2.8,0,5.6
"27021",84.5,0.4,11.8,0.6,0,5.1
"27023",90.1,0.9,2,0.9,1.1,5.8
"27025",95.3,1.3,0.5,1.1,0,3.3
"27027",90.6,3.7,1.8,1.3,0.1,4.6
"27029",85.8,0.2,8.3,0.5,0,10.2
